Temp,Humidity,Daily_cases,NumberOfDays,Total,Avg_Temp,Pop_Density,Growth_Rate,Date
26,0.62,8,1,8,23,103,1.95,11/3/2020
21,0.75,13,2,21,23,103,1.95,12/3/2020
19,0.7,13,3,34,23,103,1.95,13/3/2020
23,0.7,17,4,51,23,103,1.95,14/3/2020
27,0.55,16,5,67,23,103,1.95,15/03/2020
27,0.47,40,6,107,23,103,1.95,16/03/2020
18,0.59,30,7,137,23,103,1.95,17/03/2020
19,0.51,14,8,151,23,103,1.95,18/03/2020
20,0.49,46,9,197,23,103,1.95,19/03/2020
16,0.53,29,10,226,23,103,1.95,20/03/2020
19,0.49,9,11,235,23,103,1.95,21/03/2020
25,0.34,33,12,268,23,103,1.95,22/03/2020
28,0.24,39,13,307,23,103,1.95,23/03/2020
26,0.39,36,14,343,23,103,1.95,24/03/2020
24,0.5,54,15,397,23,103,1.95,25/03/2020
27,0.4,39,16,436,23,103,1.95,26/03/2020
29,0.4,41,17,477,23,103,1.95,27/03/2020
24,0.52,40,18,517,23,103,1.95,28/03/2020
27,0.31,33,19,550,23,103,1.95,29/03/2020
31,0.17,47,20,598,23,103,1.95,30/03/2020
30,0.23,54,21,651,23,103,1.95,31/03/2020
24,0.52,69,22,720,28,103,1.65,1/4/2020
26,0.43,86,23,806,28,103,1.65,2/4/2020
29,0.3,120,24,926,28,103,1.65,3/4/2020
34,0.18,85,25,1011,28,103,1.65,4/4/2020
30,0.32,103,26,1114,28,103,1.65,5/4/2020
27,0.49,149,27,1263,28,103,1.65,6/4/2020
25,0.47,128,28,1391,28,103,1.65,7/4/2020
24,0.5,110,29,1501,28,103,1.65,8/4/2020
22,0.48,139,30,1640,28,103,1.65,9/4/2020
22,0.51,95,31,1735,28,103,1.65,10/4/2020
24,0.51,154,32,1889,28,103,1.65,11/4/2020
28,0.46,126,33,2015,28,103,1.65,12/4/2020
27,0.44,125,34,2140,28,103,1.65,13/04/2020
29,0.44,160,35,2300,28,103,1.65,14/04/2020
30,0.37,155,36,2455,28,103,1.65,15/04/2020
8,0.34,168,37,2623,28,103,1.65,16/04/2020
29,0.48,171,38,2749,28,103,1.65,17/04/2020
29,0.51,188,39,2982,28,103,1.65,18/04/2020
29,0.47,112,40,3094,28,103,1.65,19/04/2020
31,0.42,189,41,3283,28,103,1.65,20/04/2020
38,0.28,157,42,3440,28,103,1.65,21/04/2020
34,0.26,169,43,3609,28,103,1.65,22/04/2020
31,0.45,232,44,3841,28,103,1.65,23/04/2020
35,0.38,201,45,4042,28,103,1.65,24/04/2020
26,0.51,227,46,4269,28,103,1.65,25/04/2020
27,0.46,215,47,4484,28,103,1.65,26/04/2020
31,0.34,248,48,4732,28,103,1.65,27/04/2020
32,0.38,260,49,4992,28,103,1.65,28/04/2020
30,0.45,226,50,5218,28,103,1.65,29/04/2020
30,0.39,269,51,5487,28,103,1.65,30/04/2020
33,0.32,358,52,5845,32,103,1.55,1/5/2020
33,0.39,289,53,6134,32,103,1.55,2/5/2020
32,0.37,272,54,6406,32,103,1.55,3/5/2020
33,0.34,348,55,6754,32,103,1.55,4/5/2020
27,0.46,388,56,7142,32,103,1.55,5/5/2020
29,0.45,387,57,7529,32,103,1.55,6/5/2020
37,0.34,393,58,7922,32,103,1.55,7/5/2020
37,0.29,495,59,8417,32,103,1.55,8/5/2020
30,0.52,488,60,8905,32,103,1.55,9/5/2020
