Avg_Temp,Growth_Rate,Total,Pop_Density,Date
26.9,1.95,8,103,11/3/2020
27,1.94,21,103,12/3/2020
27.1,1.93,34,103,13/3/2020
27.2,1.92,51,103,14/3/2020
27.3,1.91,67,103,15/03/2020
27.4,1.9,107,103,16/03/2020
27.5,1.89,137,103,17/03/2020
27.6,1.88,151,103,18/03/2020
27.7,1.87,197,103,19/03/2020
27.8,1.86,226,103,20/03/2020
27.9,1.85,235,103,21/03/2020
28,1.84,268,103,22/03/2020
28.1,1.83,307,103,23/03/2020
28.2,1.82,343,103,24/03/2020
28.3,1.81,397,103,25/03/2020
28.4,1.8,436,103,26/03/2020
28.5,1.79,477,103,27/03/2020
28.6,1.78,517,103,28/03/2020
28.7,1.77,550,103,29/03/2020
28.8,1.76,598,103,30/03/2020
28.9,1.75,651,103,31/03/2020
29,1.74,720,103,1/4/2020
29.1,1.73,806,103,2/4/2020
29.2,1.72,926,103,3/4/2020
29.3,1.71,1011,103,4/4/2020
29.4,1.7,1114,103,5/4/2020
29.5,1.69,1263,103,6/4/2020
29.6,1.68,1391,103,7/4/2020
29.7,1.67,1501,103,8/4/2020
29.8,1.66,1640,103,9/4/2020
29.9,1.65,1735,103,10/4/2020
30,1.64,1889,103,11/4/2020
30.1,1.63,2015,103,12/4/2020
30.2,1.62,2140,103,13/04/2020
30.3,1.61,2300,103,14/04/2020
30.4,1.6,2455,103,15/04/2020
30.5,1.59,2623,103,16/04/2020
30.6,1.58,2749,103,17/04/2020
30.7,1.57,2982,103,18/04/2020
30.8,1.56,3094,103,19/04/2020
30.9,1.55,3283,103,20/04/2020
31,1.54,3440,103,21/04/2020
31.1,1.53,3609,103,22/04/2020
31.2,1.52,3841,103,23/04/2020
31.3,1.51,4042,103,24/04/2020
31.4,1.5,4269,103,25/04/2020
31.5,1.49,4484,103,26/04/2020
31.6,1.48,4732,103,27/04/2020
31.7,1.47,4992,103,28/04/2020
31.8,1.46,5218,103,29/04/2020
31.9,1.45,5487,103,30/04/2020
32,1.44,5845,103,1/5/2020
32.1,1.43,6134,103,2/5/2020
32.2,1.42,6406,103,3/5/2020
32.3,1.41,6754,103,4/5/2020
32.4,1.4,7142,103,5/5/2020
32.5,1.39,7529,103,6/5/2020
32.6,1.38,7922,103,7/5/2020
32.7,1.37,8417,103,8/5/2020
32.8,1.36,8905,103,9/5/2020
