Temp,Humidity,Daily_cases,NumberOfDays,Total,Avg_Temp,Pop_Density,Growth_Rate,Date
21,0.47,93,1,93,10,19.45,2.46,11/3/2020
14,0.65,107,2,200,10.1,19.45,2.45,12/3/2020
12,0.68,112,3,312,10.2,19.45,2.44,13/3/2020
7,0.43,235,4,547,10.3,19.45,2.43,14/3/2020
12,0.45,742,5,1289,10.4,19.45,2.42,15/03/2020
12,0.48,1342,6,2631,10.5,19.45,2.41,16/03/2020
11,0.79,2341,7,4972,10.6,19.45,2.4,17/03/2020
25,0.52,3052,8,8024,10.7,19.45,2.39,18/03/2020
18,0.86,1993,9,10017,10.8,19.45,2.38,19/03/2020
7,0.83,5440,10,15457,10.9,19.45,2.37,20/03/2020
5,0.37,5123,11,20580,11,19.45,2.36,21/03/2020
13,0.43,5516,12,26296,11.1,19.45,2.35,22/03/2020
7,0.8,6674,13,32770,11.2,19.45,2.34,23/03/2020
16,0.64,6097,14,38867,11.3,19.45,2.33,24/03/2020
21,0.69,7380,15,46247,11.4,19.45,2.32,25/03/2020
12,0.59,7250,16,53497,11.5,19.45,2.31,26/03/2020
8,0.54,7413,17,60910,11.6,19.45,2.3,27/03/2020
11,0.68,6785,18,67695,11.7,19.45,2.29,28/03/2020
9,0.88,8823,19,76518,11.8,19.45,2.28,29/03/2020
13,0.72,8104,20,84622,11.9,19.45,2.27,30/03/2020
14,0.68,9353,21,93975,12,19.45,2.26,31/03/2020
11,0.55,10628,22,104603,12.1,19.45,2.25,1/4/2020
17,0.53,11506,23,116109,12.2,19.45,2.24,2/4/2020
18,0.7,8477,24,124586,12.3,19.45,2.23,3/4/2020
19,0.66,9135,25,133721,12.4,19.45,2.22,4/4/2020
20,0.72,10714,26,144435,12.5,19.45,2.21,5/4/2020
18,0.43,9000,27,153435,12.6,19.45,2.2,6/4/2020
15,0.43,10533,28,163968,12.7,19.45,2.19,7/4/2020
9,0.7,11045,29,175013,12.8,19.45,2.18,8/4/2020
13,0.6,8969,30,183982,12.9,19.45,2.17,9/4/2020
17,0.46,8458,31,192440,13,19.45,2.16,10/4/2020
19,0.39,6419,32,198859,13.1,19.45,2.15,11/4/2020
16,0.52,7614,33,206473,13.2,19.45,2.14,12/4/2020
12,0.76,11661,34,218134,13.3,19.45,2.13,13/04/2020
10,0.45,7636,35,225770,13.4,19.45,2.12,14/04/2020
11,0.36,7753,36,233523,13.5,19.45,2.11,15/04/2020
8,0.36,7090,37,240613,13.6,19.45,2.1,16/04/2020
17,0.45,6174,38,246787,13.7,19.45,2.09,17/04/2020
14,0.72,4879,39,251666,13.8,19.45,2.08,18/04/2020
16,0.48,4461,40,256127,13.9,19.45,2.07,19/04/2020
11,0.48,5713,41,261840,14,19.45,2.06,20/04/2020
11,0.55,6313,42,268153,14.1,19.45,2.05,21/04/2020
9,0.32,8864,43,277017,14.2,19.45,2.04,22/04/2020
18,0.47,10868,44,287885,14.3,19.45,2.03,23/04/2020
11,0.85,5678,45,293563,14.4,19.45,2.02,24/04/2020
10,0.6,4013,46,297576,14.5,19.45,2.01,25/04/2020
19,0.78,3464,47,301040,14.6,19.45,2,26/04/2020
15,0.76,4708,48,305748,14.7,19.45,1.99,27/04/2020
16,0.53,4681,49,310429,14.8,19.45,1.98,28/04/2020
19,0.68,4383,50,314813,14.9,19.45,1.97,29/04/2020
23,0.84,3991,51,318804,15,19.45,1.96,30/04/2020
27,0.74,4670,52,323474,15.1,19.45,1.95,1/5/2020
24,0.74,3491,53,326965,15.2,19.45,1.94,2/5/2020
17,0.54,2765,54,329730,15.3,19.45,1.93,3/5/2020
11,0.47,3352,55,333082,15.4,19.45,1.92,4/5/2020
19,0.36,3930,56,337012,15.5,19.45,1.91,5/5/2020
14,0.6,3284,57,340296,15.6,19.45,1.9,6/5/2020
9,0.44,2704,58,343000,15.7,19.45,1.89,7/5/2020
18,0.57,1997,59,344997,15.8,19.45,1.88,8/5/2020
16,0.4,1745,60,346742,15.9,19.45,1.87,9/5/2020
